state_code,state_name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,Alabama,4351037,4369862,71234768,71482144,71681424,72055856,72491664,73116880,74063696,74765440,75491296,76127008,76564768,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185,5031362.0,5049846.0,5074296.0
2,Alaska,615205,619500,10047408,10139424,10277392,10374624,10548576,10671136,10804832,10884800,10999280,11182320,11423760,722128,730443,737068,736283,737498,741456,739700,735139,731545,732923.0,734182.0,733583.0
4,Arizona,4667277,4778332,82569376,84375632,86340080,88165824,90438464,93425232,96466256,98682896,100485792,101490464,102619792,6472643,6554978,6632764,6730413,6829676,6941072,7044008,7158024,7278717,7179943.0,7264877.0,7359197.0
5,Arkansas,2538202,2551373,42857408,43065136,43294832,43597056,43994976,44497552,45148176,45578400,45992864,46349488,46745696,2940667,2952164,2959400,2967392,2978048,2989918,3001345,3009733,3017804,3014195.0,3028122.0,3045637.0
6,California,32682794,33145121,543807632,551671328,557949488,564050544,569193216,573247088,576339232,580004976,585669392,591379664,597589808,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,39512223,39501653.0,39142991.0,39029342.0
8,Colorado,3968967,4056133,69230736,70810992,71846496,72459712,73200208,74110208,75526768,76861888,78235680,79555120,80785136,5121108,5192647,5269035,5350101,5450623,5539215,5611885,5691287,5758736,5784865.0,5811297.0,5839926.0
9,Connecticut,3272563,3282031,54588432,54925360,55339984,55749376,55937504,56111296,56279360,56436320,56729264,56988912,57233168,3588283,3594547,3594841,3594524,3587122,3578141,3573297,3571520,3565287,3597362.0,3623355.0,3626205.0
10,Delaware,744066,753538,12581968,12731184,12898704,13088048,13292848,13522400,13748288,13947984,14141984,14267680,14396304,907381,915179,923576,932487,941252,948921,956823,965479,973764,992114.0,1004807.0,1018396.0
11,District of Columbia,521426,519000,9152736,9192064,9170528,9096032,9084064,9074176,9130896,9190464,9283776,9475648,9671248,619800,634924,650581,662328,675400,685815,694906,701547,705749,670868.0,668791.0,671803.0
12,Florida,14908230,15111244,256760240,261711456,267029920,272065360,278645088,285472608,290671840,293885472,296436880,298442304,301493216,19053237,19297822,19545621,19845911,20209042,20613477,20963613,21244317,21477737,21589602.0,21828069.0,22244823.0
13,Georgia,7636522,7788240,131636848,134032608,136132096,137964688,140308032,142814752,146493008,149599808,152077488,153933536,155401392,9802431,9901430,9972479,10067278,10178447,10301890,10410330,10511131,10617423,10729828.0,10788029.0,10912876.0
15,Hawaii,1190472,1185497,19416304,19615168,19833808,20018464,20377104,20683664,20955696,21050800,21315408,21547472,21817936,1379329,1394804,1408243,1414538,1422052,1427559,1424393,1420593,1415872,1451043.0,1447154.0,1440196.0
16,Idaho,1230923,1251700,20790880,21119392,21445952,21814080,22268832,22851856,23498704,24081680,24549120,24871024,25143200,1583910,1595324,1611206,1631112,1651059,1682380,1717715,1750536,1787065,1849202.0,1904314.0,1939033.0
17,Illinois,12069774,12128370,198946576,199815120,200408896,200896096,201436368,201758448,202303280,203133856,203952608,204748448,205490656,12867454,12882510,12895129,12884493,12858913,12820527,12778828,12723071,12671821,12786580.0,12686469.0,12582032.0
